step,agent_id,attention,destination,emissions_total_g,location,modal_share,mode,performance,stress,t,working_memory
6,agent_12,0.4763,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.4033,0.2283,6,0.5192
6,,,,0.0,,{'bike': 12},,,,,
7,agent_1,0.4582,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3287,0.2667,7,0.4117
7,agent_2,0.4503,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3822,0.2372,7,0.5077
7,agent_3,0.4576,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3473,0.2628,7,0.4493
7,agent_4,0.438,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3527,0.263,7,0.4809
7,agent_5,0.4632,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3625,0.2354,7,0.4496
7,agent_6,0.448,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3567,0.2551,7,0.4719
7,agent_7,0.4691,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3776,0.2455,7,0.4871
7,agent_8,0.4509,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3635,0.2483,7,0.4772
7,agent_9,0.4621,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3572,0.2499,7,0.4537
7,agent_10,0.4646,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3735,0.236,7,0.4731
7,agent_11,0.4807,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3481,0.2514,7,0.4167
7,agent_12,0.4742,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3844,0.2258,7,0.4773
7,,,,0.0,,{'bike': 12},,,,,
8,agent_1,0.4544,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3371,0.266,8,0.4333
8,agent_2,0.4449,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3527,0.2392,8,0.4502
8,agent_3,0.4543,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.339,0.2625,8,0.4339
8,agent_4,0.4352,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3293,0.2645,8,0.4337
8,agent_5,0.4627,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.366,0.2351,8,0.4576
